%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1573333112523835073,0,1573333112523835073,odom,vehicle,0.0130210117422,-0.000113151520516,0.0,-0.0,-0.0,-0.00529691773302,0.999985971233,0.234045705001,0.0,0.0,0.0,0.0,0.00916132592334
1573333112557835073,0,1573333112557835073,odom,vehicle,0.0170715473525,-0.000177523306087,0.0,-0.0,-0.0,-0.0105936879396,0.999943885313,0.11914928148,0.0,0.0,0.0,0.0,-0.311585651492
1573333112591835073,0,1573333112591835073,odom,vehicle,0.0180840237981,-0.000204344728495,0.0,-0.0,-0.0,-0.0158901609134,0.999873743423,0.0297893755275,0.0,0.0,0.0,0.0,-0.311585651492
1573333112625835073,0,1573333112625835073,odom,vehicle,0.0211194044689,-0.000333521392221,0.0,-0.0,-0.0,-0.0266373451145,0.999645162968,0.0893580140836,0.0,0.0,0.0,0.0,-0.632330379741
1573333112660835073,0,1573333112660835073,odom,vehicle,0.0252538467181,-0.000554682168715,0.0,-0.0,-0.0,-0.026797649734,0.9996408785,0.118296322575,0.0,0.0,0.0,0.0,-0.00916357509047
1573333112694835073,0,1573333112694835073,odom,vehicle,0.030280141218,-0.000852638265339,0.0,-0.0,-0.0,-0.0324036520341,0.999474863783,0.14809179552,0.0,0.0,0.0,0.0,-0.329908303339
1573333112728835073,0,1573333112728835073,odom,vehicle,0.0383654907028,-0.00137871946154,0.0,-0.0,-0.0,-0.0325593120284,0.999469805047,0.238307809601,0.0,0.0,0.0,0.0,-0.00916132592334
1573333112762835073,0,1573333112762835073,odom,vehicle,0.0464507042772,-0.00190732094534,0.0,-0.0,-0.0,-0.0327149712329,0.999464722067,0.238308645144,0.0,0.0,0.0,0.0,-0.00916132592334
1573333112796835073,0,1573333112796835073,odom,vehicle,0.054538519201,-0.00239434735569,0.0,-0.0,-0.0,-0.0274204298723,0.999623989321,0.238307809601,0.0,0.0,0.0,0.0,0.311583402325
1573333112830835073,0,1573333112830835073,odom,vehicle,0.0646513001986,-0.00294956734447,0.0,-0.0,-0.0,-0.0274204298723,0.999623989321,0.297883381118,0.0,0.0,0.0,0.0,5.55111512313e-17
1573333112864835073,0,1573333112864835073,odom,vehicle,0.07779789519,-0.00367135221506,0.0,-0.0,-0.0,-0.0274204298723,0.999623989321,0.387247797336,0.0,0.0,0.0,0.0,5.55111512313e-17
